  per-bar dump -> D:\ClaudeCode\edge_out\bars_2026-06-15.jsonl  (22566 rows)

  ENTRY-EDGE PROBE — 2026-06-15
    correctness gate: replay._run -> 12 trades, -11.4 pts  [PASS]
    probed bars: 22566  (timeouts 2620 = 11.6%)

    signal                        T.n   T.wr   T.exp   F.exp    edge
    base_rate                   22566  51.0%   +1.07   +0.00   +1.07
    kind==BREAK                  9713  60.0%   +2.79   -0.22   +3.02
    ev:Buyers queuing            4601  59.2%   +2.56   +0.69   +1.87
    ev:Defenders adding OI       3550  57.4%   +2.47   +0.81   +1.66
    ev:Wall capitulating         1032  57.1%   +2.56   +1.00   +1.55
    ev:Flow thrust               1386  55.5%   +1.98   +1.01   +0.96
    ev:Exhaustion (fall into zone)   5663  52.8%   +1.45   +0.95   +0.50
    kin_spot_v>0                11389  52.1%   +1.31   +0.83   +0.47
    kin_prem_a>0                10855  50.6%   +1.00   +1.15   -0.15
    vis_inflection                523  49.7%   +0.84   +1.08   -0.24
    ev:Premium exploding         1049  49.8%   +0.84   +1.09   -0.24
    kin_spot_a>0                11077  50.2%   +0.91   +1.23   -0.32
    ev:Price turning             5559  49.3%   +0.78   +1.17   -0.39
    ev:Our premium rising        2805  48.0%   +0.51   +1.15   -0.64
    ev:Turn physics d²/dt²       4087  47.2%   +0.34   +1.24   -0.90
    ev:Zone holding              6642  47.6%   +0.43   +1.34   -0.91
    ev:Their premium stalling    5248  47.2%   +0.34   +1.30   -0.96
    ev:Cheapness                    0   0.0%   +0.00   +1.07   -1.07
    ev:Heavyweights agree           0   0.0%   +0.00   +1.07   -1.07
    ev:Pressure exhausting       7876  47.0%   +0.32   +1.48   -1.16
    ev:BankNifty/FinNifty agree   3346  45.8%   +0.08   +1.25   -1.17
    ev:Book favours us           5240  46.2%   +0.14   +1.36   -1.22
    vote_ok_count>=6             4792  44.3%   -0.24   +1.43   -1.67
    ev:OI divergence              390  31.3%   -3.12   +1.15   -4.27
    ev:ATM±6 PCR shift           1346  19.5%   -4.52   +1.43   -5.95
    ev:AVWAP reclaim             2297  21.0%   -5.35   +1.80   -7.15
    ev:Unwinding fuel             607  18.4%   -5.94   +1.27   -7.21
    cross_blocked                   5   0.0%  -10.00   +1.08  -11.08

