id,direction,strike,lots,qty,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pts,pnl_cash,entry_score,strike_delta_used,peak_price
1,CE,25000.0,15,975,10:00:00,100.0,10:51:39,100.3,SL HIT,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,10:51:40,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
1,CE,25000,15,975,10:51:40,100.0,10:53:05,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,10:53:05,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,10:53:05,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
2,CE,25000,15,975,10:53:05,100.0,11:11:14,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,11:11:14,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,11:11:14,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
3,CE,25000,15,975,11:11:14,100.0,12:01:24,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,12:01:24,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,12:01:24,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
4,CE,25000,15,975,12:01:24,100.0,12:46:08,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,12:46:08,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,12:46:08,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
5,CE,25000,15,975,12:46:08,100.0,13:44:37,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,13:44:37,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,13:44:37,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
6,CE,25000,15,975,13:44:37,100.0,14:36:32,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,14:36:32,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,14:36:32,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
7,CE,25000,15,975,14:36:32,100.0,14:50:51,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,14:50:51,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,14:50:51,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
8,CE,25000,15,975,14:50:51,100.0,17:19:45,112.0,TIMEOUT,12.0,11700.0,0.0,,100.0
1,CE,25000.0,15,975,10:00:00,100.0,17:19:45,89.5,BE GUARD,-10.5,-10237.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:19:45,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
9,CE,25000,15,975,17:19:45,100.0,17:19:59,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:19:59,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:19:59,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
10,CE,25000,15,975,17:19:59,100.0,17:20:08,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:20:08,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:20:08,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
11,CE,25000,15,975,17:20:08,100.0,17:20:11,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:20:11,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:20:11,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
12,CE,25000,15,975,17:20:11,100.0,17:20:13,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:20:13,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:20:13,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
13,CE,25000,15,975,17:20:13,100.0,17:42:09,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:42:09,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:42:09,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
14,CE,25000,15,975,17:42:09,100.0,17:56:25,100.3,BE GUARD,0.3,292.5,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:56:25,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,17:56:25,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
15,CE,25000,4,260,17:56:25,100.0,19:19:00,112.0,TIMEOUT,12.0,3120.0,0.0,,100.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:00,89.5,BE GUARD,-10.5,-10237.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:00,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
16,CE,25000,4,260,19:19:00,100.0,19:19:09,100.3,BE GUARD,0.3,78.0,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:09,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:09,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
17,CE,25000,4,260,19:19:09,100.0,19:19:17,100.3,BE GUARD,0.3,78.0,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:17,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:17,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
18,CE,25000,4,260,19:19:17,100.0,19:19:19,100.3,BE GUARD,0.3,78.0,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:19,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:19,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
19,CE,25000,4,260,19:19:19,100.0,19:19:21,100.3,BE GUARD,0.3,78.0,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:21,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:22,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
20,CE,25000,4,260,19:19:22,100.0,19:19:24,100.3,BE GUARD,0.3,78.0,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:24,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:19:24,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
21,CE,25000,4,260,19:19:24,100.0,19:35:57,100.3,BE GUARD,0.3,78.0,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:35:57,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:35:57,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
22,CE,25000,4,260,19:35:57,100.0,19:47:25,100.3,BE GUARD,0.3,78.0,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:47:25,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:47:25,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
23,CE,25000,4,260,19:47:25,100.0,19:57:56,100.3,BE GUARD,0.3,78.0,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:57:56,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,19:57:56,89.5,SL HIT,-10.5,-10237.5,0.8,,100.0
24,CE,25000,2,130,19:57:56,100.0,20:08:29,100.3,BE GUARD,0.3,39.0,0.0,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,20:08:29,100.3,BE GUARD,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,20:08:29,89.5,DAILY STOP,-10.5,-10237.5,0.8,,100.0
1,CE,25000.0,15,975,10:00:00,100.0,20:08:41,100.3,DAILY STOP,0.3,292.5,0.8,,112.0
1,CE,25000.0,15,975,10:00:00,100.0,20:08:41,89.5,DAILY STOP,-10.5,-10237.5,0.8,,100.0
1,CE,25000.0,15,975,10:00:00,100.0,20:08:41,110.0,DAILY STOP,10.0,9750.0,0.8,,100.0
1,CE,25000.0,2,130,10:00:00,100.0,20:10:35,112.0,DAILY STOP,12.0,1560.0,0.8,,100.0
1,CE,25000.0,2,130,10:00:00,100.0,20:10:35,119.0,DAILY STOP,19.0,2470.0,0.8,,100.0
1,CE,25000.0,2,130,10:00:00,100.0,20:10:35,89.5,DAILY STOP,-10.5,-1365.0,0.8,,100.0
1,CE,25000.0,2,130,10:00:00,100.0,20:10:35,110.0,DAILY STOP,10.0,1300.0,0.8,,100.0
1,CE,25000.0,2,130,10:00:00,100.0,20:10:35,115.0,DAILY STOP,15.0,1950.0,0.8,,100.0
1,CE,25000.0,2,130,10:00:00,100.0,20:10:38,100.3,DAILY STOP,0.3,39.0,0.8,,112.0
1,CE,25000.0,2,130,10:00:00,100.0,20:10:38,89.5,DAILY STOP,-10.5,-1365.0,0.8,,100.0
1,CE,25000.0,2,130,10:00:00,100.0,20:10:38,110.0,DAILY STOP,10.0,1300.0,0.8,,100.0
1,CE,25000.0,2,130,10:00:00,100.0,20:10:41,100.3,DAILY STOP,0.3,39.0,0.8,,112.0
1,CE,25000.0,2,130,10:00:00,100.0,20:10:41,89.5,DAILY STOP,-10.5,-1365.0,0.8,,100.0
1,CE,25000.0,2,130,10:00:00,100.0,20:10:41,110.0,DAILY STOP,10.0,1300.0,0.8,,100.0
1,CE,25000.0,2,130,10:00:00,100.0,20:11:58,89.5,DAILY STOP,-10.5,-1365.0,0.8,,100.0
1,CE,25000.0,2,130,10:00:00,100.0,20:11:58,112.0,DAILY STOP,12.0,1560.0,0.8,,112.0
