id,direction,strike,lots,qty,entry_time,entry_price,exit_time,exit_price,exit_reason,pnl_pts,pnl_cash,entry_score,peak_price
1,PE,23950,24,1560,09:20:00,64.55,09:32:39,54.2,SL HIT,-10.35,-16146.0,0.4,74.65
2,PE,23950,21,1365,09:36:24,60.7,10:00:16,50.65,SL HIT,-10.05,-13718.25,0.6,71.1
3,CE,23900,18,1170,10:27:46,58.45,10:39:57,77.45,TRAIL SL,19.0,22230.0,0.53,85.8
4,CE,23950,25,1625,10:48:57,55.65,10:58:05,45.0,SL HIT,-10.65,-17306.25,0.47,58.6
5,PE,23950,25,1625,11:12:22,48.25,12:23:31,61.4,TRAIL SL,13.15,21368.75,0.47,67.55
6,PE,23950,28,1820,12:25:05,53.65,12:28:00,43.4,SL HIT,-10.25,-18655.0,0.6,54.0
7,PE,23950,28,1820,12:28:20,43.2,13:12:40,32.4,SL HIT,-10.8,-19656.0,0.53,53.15
8,CE,23950,21,1365,14:10:11,47.7,14:20:33,37.1,SL HIT,-10.6,-14469.0,0.53,51.45
9,PE,24050,9,585,14:24:55,70.5,14:34:13,59.5,SL HIT,-11.0,-6435.0,0.53,74.95
10,PE,24000,14,910,14:46:55,40.25,14:49:46,29.25,SL HIT,-11.0,-10010.0,0.8,42.1
